key,text,source_ko
ui.msg.swap_rejected,La demande d’échange de place a été refusée.,위치 교환 요청이 거절되었습니다.
ui.msg.player_left_room,{0} a quitté le salon.,{0} 님이 대기방을 나갔습니다.
ui.msg.host_transferred,{0} a quitté la partie.\nLes droits passent à {1}.,{0} 님이 게임을 나갔습니다.\n{1} 님에게 권한이 이전됩니다.
ui.order.back,Ligne arrière,후열
ui.order.middle,Ligne centrale,중열
ui.order.front,Première ligne,전열
ui.map.turn_count,{0} tours,{0}턴
buff.BOONGGUI.name,Effondrement,붕괴
buff.BOONGGUI.desc,Vous subissez 50 % de dégâts d’attaque en plus (arrondi à l’inférieur).,공격 피해를 입을 때 50%(소수점 버림)의 피해를 추가로 입습니다.
buff.SOIRAK.name,Déclin,쇠락
buff.SOIRAK.desc,Vous infligez 25 % de dégâts d’attaque en moins (arrondi à l’inférieur).,공격 피해를 입힐 때 25%(소수점 버림) 만큼 줄어듭니다.
buff.ICHI_ATTACK.name,Ichi de Puissance,힘의 이치
buff.ICHI_ATTACK.desc,"L’attaque augmente ou diminue de la valeur affichée (s’applique aux attaques de base et aux compétences).",공격력이 표시 수치만큼 증가/감소합니다 (기본 공격과 스킬 피해에 적용).
buff.ICHI_DEFENSE.name,Ichi de Défense,방어의 이치
buff.ICHI_DEFENSE.desc,"La défense augmente ou diminue de la valeur affichée (positif : compte dans la réduction des dégâts et le bouclier de Défendre ; négatif : moins de bouclier gagné).",방어력이 표시 수치만큼 증가/감소합니다 (양수는 받는 피해 계산과 방어 행동 실드량에 가산되고 음수는 방어 획득량을 줄입니다).
buff.IRONDEMON.name,Taille,크기
buff.IRONDEMON.desc,La taille du démon de fer peut monter ou descendre (minimum 1) et elle est liée aux améliorations de Danhyang. Des cartes peuvent aussi appliquer des effets à l’esprit lui-même.,철귀는 크기 버프를 올리거나 내릴 수 있으며 (최솟값 1) 단향의 버프와 연결되며 정령 자체에 효과를 카드로 부여 할 수 있습니다.
buff.FLOWERPOWDER.name,Pollen,꽃가루
buff.FLOWERPOWDER.desc,"Peut être appliqué aux alliés comme aux ennemis. À la fin du tour, il accorde N de blocage aux alliés ou inflige N dégâts aux ennemis, puis perd 1 charge.",아군과 적 모두에게 걸 수 있으며 턴종료 후 아군에게 N 방어력 적에겐 N 피해 후 1 스택 감소합니다.
buff.FLOWER.name,Floraison,개화
buff.FLOWER.desc,Obtenue à hauteur du pollen. Les alliés subissent d’autant moins de dégâts et les ennemis d’autant plus. Disparaît quand on est touché ou au début du tour.,꽃가루 만큼 개화 되며 아군은 받는 피해 개화 만큼 감소 로 받습니다. 적군은 받는 피해 개화 만큼 증가 합니다. 피격시 나 턴종료시 사라집니다.
buff.FURYOFIRON.name,Fureur du Fer,철의 분노
buff.FURYOFIRON.desc,"Durant ce combat, « Griffe de Fer » et « Croc de Fer » sont améliorées, et « Griffe de Fer » gagne [déclenche l’harmonie si le démon de fer se trouve sur la cible].",이번 전투에서 '철의 손톱'과 '철의 이빨' 카드가 강화되며 '철의 손톱' 카드는 [발동 시 그 위치 철귀가 있을 시 화합] 이 붙습니다.
buff.BLADETRIMMING.name,Affûtage des Lames,칼날 손질
buff.BLADETRIMMING.desc,"Durant ce combat, une « Griffe de Fer » et un « Croc de Fer » sont créés en main au début de chaque tour.",이번 전투에서 턴 시작시 '철의 손톱'과 '철의 이빨' 카드가 한장 씩 패에 생성됩니다.
buff.IMANGRY.name,Ça m’énerve,화가나는 구나
buff.IMANGRY.desc,"Ce tour-ci, « Croc de Fer » et « Griffe de Fer » infligent le double de dégâts.",이번 턴 시용하는 '철의 이빨' 과 '철의 손톱' 카드의 피해가 2 배가 됩니다.
buff.GROWTHSPURT.name,Poussée de Croissance,성장기
buff.GROWTHSPURT.desc,"Durant ce combat, la taille augmente de 2 au début de chaque tour.",이번 전투에서 턴 시작시 크기 2 증가 합니다.
buff.FURYOFFLOWER.name,Fureur de la Fleur et du Fer,꽃과 철의 분노
buff.FURYOFFLOWER.desc,"Durant ce combat, l’harmonie se déclenche chaque fois que vous jouez 3 cartes.",이번 전투에서 자신이 카드를 3장 사용시 화합 이 발동됩니다.
buff.FRAGRANT.name,Fleur Parfumée,향기로운 꽃
buff.FRAGRANT.desc,"Durant ce combat, applique 2 pollen à tous au début de chaque tour.",이번 전투에서 턴 시작시 전체 꽃가루 2 를 부여합니다.
buff.GREATMAN.name,Le Grand,위대한 자
buff.GREATMAN.desc,"Une fois par tour, dépensez 1 Ichi pour prendre l’une des trois pénitences. Quand les trois sont en main, la capacité devient « Devenir un héros ». (Chaque carte de pénitence ne peut être prise qu’une fois.)",한턴에 한번 능력을 누를시  이치 1을 소비하고 3가지 고행 중 하나를 가져 옵니다. 3가지 고행이 전부 패에 있다면 능력이 '영웅 상태가 됩니다.' 로 바뀝니다. (고행카드는 한번씩만 가져 올수 있음)
buff.HERO.name,Héros,영웅
buff.HERO.desc,"En état de héros, toutes les malédictions d’Ichi deviennent des cartes de héros et vous gagnez [au début du tour, pour chaque carte de héros possédée, 3 d’Ichi de Puissance pour ce tour et 3 de blocage].",영웅 상태시 이치의 저주 카드가 전부 영웅 카드로 변하며 [턴 시작시 자신이 소유한 영웅 카드 갯수 당 그 턴에만 힘의 이치가 3 증가하고 방어 3 을 획득합니다.] 를 능력으로 추가합니다.
buff.APDO.name,Domination,압도
buff.APDO.desc,"À 8 charges, la domination est consommée et l’action de l’ennemi est retardée d’un tour. Chaque réussite multiplie la quantité requise.",압도가 8 모이면 압도를 제거하고 적의 행동을 한 턴 미루게 합니다. 압도 성공시 필요한 압도는 N 배가 됩니다.
buff.BOOKBANG.name,Grand Guerrier du Nord,북방의 위대한 투사
buff.BOOKBANG.desc,"Durant ce combat, votre attaque augmente cumulativement au début de chacun de vos tours. Les attaques de base et les compétences gagnent la valeur affichée, et « Force inégalable » la compte deux fois.",이번 전투 동안 자기 턴이 시작할 때마다 공격력이 누적 상승합니다. 표시 수치만큼 기본 공격과 스킬의 공격력이 오르며 '범접할 수 없는 힘'은 이 수치를 2배로 받습니다.
buff.GOTONG.name,Écho de la Douleur,고통의 메아리
buff.GOTONG.desc,"Durant ce combat, jouer une carte de malédiction inflige 3 dégâts à tous les ennemis. Cette carte part à la défausse après usage.",이번 전투에서 저주 카드 사용시 적 전체에게 피해 3을 줍니다. 이 카드는 사용 후 버린 덱으로 갑니다.
buff.BRILLIANTCURSE.name,Même la Malédiction Brille,저주조차 찬란하다
buff.BRILLIANTCURSE.desc,"Durant ce combat, les cartes de malédiction d’Ichi sont améliorées.",이번 전투에서 이치의 저주 카드가 강화 됩니다.
buff.UGLYKNIGHT.name,"Laid, mais Chevaleresque",추하기에 기사답게
buff.UGLYKNIGHT.desc,"Durant ce combat, les effets de chevalerie se répètent une fois de plus.",이번 전투에서 기사도 효과는 1번 더 반복이 됩니다.
buff.ABSOLUTEDOMINATOR.name,Dominateur Absolu,절대 강자
buff.ABSOLUTEDOMINATOR.desc,"Durant ce combat, gagnez 1 d’Ichi de Puissance chaque fois que la chevalerie réussit. Cette carte part à la défausse après usage.",이번 전투에서 기사도 성공시 힘의 이치 1 을 얻습니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.THEREISNOJABI.name,Aucune Pitié,자비란 없다
buff.THEREISNOJABI.desc,"Durant ce combat, quand la domination est appliquée à un ennemi, elle est consommée et inflige 3 dégâts par charge. Cette carte part à la défausse après usage.",이번 전투에서 적에게 압도 부여 시 압도를 제거후 압도 1당 피해 3 을 줍니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.WRAPWINGS.name,"Protection",보호
buff.WRAPWINGS.desc,"Geork subit à la place le pourcentage affiché des dégâts reçus par cette cible.",게오르크가 이 대상이 받는 피해의 표시 수치%를 대신 받습니다.
buff.CLOSEPOSE.name,Garde Sans Faille,빈틈없는 자세
buff.CLOSEPOSE.desc,Gagnez 3 de blocage à chaque attaque ce tour-ci.,이번턴에 공격할 때마다 방어 3을 얻습니다
buff.WISDOMOFOLDSOLDIER.name,Sagesse du Vieux Soldat,노병의 지혜
buff.WISDOMOFOLDSOLDIER.desc,"Durant ce combat, accorde 5 de blocage à tous les alliés chaque fois que les positions changent. Cette carte part à la défausse après usage.",이번 전투에서 위치가 바뀔 때 마다 바뀐 아군전체에게 방어 5 를 부여합니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.MELODYOFHERO.name,Mélodie du Héros,영웅의 선율
buff.MELODYOFHERO.desc,"Durant ce combat, piochez une carte chaque fois que vous jouez une bénédiction d’Ichi. Cette carte part à la défausse après usage.",이번 전투에서 이치의 축복 카드 사용시 카드 한장을 뽑습니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.GOHANG2_DEBUFF.name,Pénitence II,고행2
buff.GOHANG2_DEBUFF.desc,Une marque de la malédiction qui subsiste jusqu’à ce que vous jouiez Pénitence II.,고행 II 를 사용할 때까지 남는 저주의 낙인입니다.
buff.GOHANG3_DEBUFF.name,Pénitence III,고행3
buff.GOHANG3_DEBUFF.desc,Toutes les cartes sauf Pénitence III coûtent 1 de plus jusqu’à ce que vous la jouiez.,고행 III 를 사용할 때까지 고행 III 를 제외한 모든 카드의 비용이 1 증가합니다.
buff.GOHANG3.name,Pénitence,고행
buff.GOHANG3.desc,Toutes les cartes que vous jouez ce tour-ci coûtent 1.,이번 턴에 사용하는 모든 카드의 비용이 1 이 됩니다.
buff.ERIS_NORMAL.name,Poupée qui a Vu un Rêve,꿈을 본 인형 기본
buff.ERIS_NORMAL.desc,"À 1 PV, elle entre en état ??? (levé si elle remonte à 2 ou plus). Une fois par combat, si une attaque n’excédant pas le double de ses PV actuels devait la tuer, elle survit à 1 PV.",그녀는 체력 1일시 ??? 상태로 진입하며 (2 이상으로 돌아갈시 풀립니다.) 한 전투에 한번 자신의 현재 체력의 2배 이하의 공격을 받고 사망 시 체력 1로 살아남습니다.
buff.ERIS_2ND.name,Poupée qui a Vu un Rêve — avant,꿈을 본 인형 진입전
buff.ERIS_2ND.desc,,description is empty
buff.ERIS_3RD.name,Poupée qui a Vu un Rêve — ???,꿈을 본 인형 ???
buff.ERIS_3RD.desc,,description is empty
buff.POWEROFDESTRUCTION.name,Autorité de Destruction,파괴의 권능
buff.POWEROFDESTRUCTION.desc,"Jouer une carte d’attaque coûte 2 PV, mais à la moitié des PV ou moins les cartes d’attaque infligent le double de dégâts, et le triple en état de folie. Cet effet ne peut pas vous faire descendre sous 1 PV.",공격 카드를 사용시 체력이 2씩 감소되지만 체력이 절반 이하면 공격 카드가 2배 피해를 광기 상태시 3배 피해를 주게 됩니다. 이 효과로는 체력 1 밑으로 떨어지지 않습니다.
buff.POWEROFCREATION.name,Autorité de Création,창조의 권능
buff.POWEROFCREATION.desc,"Quand vos cartes vous accordent du blocage, vous soignez à la place s’il vous manque des PV ; à pleins PV, le blocage s’accumule normalement.",자신의 카드로 방어가 올라갈시 체력이 달아있다면 체력이 차며 체력이 가득 차 있다면 방어가 쌓입니다.
buff.BYEOLMURI.name,Amas d’Étoiles,별무리
buff.BYEOLMURI.desc,Renforce la prochaine carte jouée et consomme 1 charge. Attaque = blocage égal à la moitié des dégâts infligés. Stratégie = revient en main après usage. Autres cartes = coûtent 2 de moins.,다음에 쓰는 카드에 효과를 부여하고 별무리 스택 1 제거합니다.  공격 = 준 피해 절반 방어 / 전략 = 사용후 다시 패 / 그 외 카드 = 비용 2감소
buff.TEMPESTOSO.name,Tempestoso,템페스토소
buff.TEMPESTOSO.desc,"Durant ce combat, piochez une carte chaque fois que vous perdez 10 PV.",이번 전투동안 체력을 10 잃을 때마다 카드를 한장 뽑습니다.
buff.ECLIPSE.name,Éclipse,월식
buff.ECLIPSE.desc,Gagnez du blocage égal aux dégâts que vous infligez ce tour-ci. Gravité,이번 턴에 넣은 피해 만큼 방어를 얻습니다. 중력
buff.REPEATMARK.name,Signe de Reprise,도돌이표
buff.REPEATMARK.desc,Les cartes d’attaque jouées ce tour-ci sont jouées deux fois.,이번 턴에 사용되는 공격 카드는 2번 사용됩니다.
buff.SIGNOFEND.name,Présage de la Fin,종말의 징조
buff.SIGNOFEND.desc,"Durant ce combat, inflige 2 dégâts à tous les ennemis chaque fois qu’une carte passe de la pioche à la défausse.",이번 전투에서 카드가 뽑을 덱에서 버린 덱으로 갈 때마다 적 전체에게 피해 2 를 줍니다.
buff.ENDOFDISTORTION.name,Fin de la Distorsion,뒤틀림의 끝
buff.ENDOFDISTORTION.desc,"Pour le reste de la partie, à pleins PV vos cartes n’accordent plus de blocage et infligent ce montant en dégâts à tous les ennemis.",이번 게임동안 자신의 체력이 가득 차있다면 자신의 카드로는 방어가 오르지 않고 그 수치 만큼 적 전체에게 피해를 줍니다.
buff.ENHANCESKIN.name,Mue Renforcée,허물 강화
buff.ENHANCESKIN.desc,"Ce tour-ci, les PV soignés sont convertis en blocage.",이번 턴 체력 회복은 방어로 전환 됩니다.
buff.DEATHTHROES.name,Râle de la Poupée Souriante,웃는 인형의 단말마
buff.DEATHTHROES.desc,"Durant ce combat, l’Autorité de Destruction gagne +1 multiplicateur, mais les dégâts que vous subissez sont aussi doublés.",이번 전투 동안 파괴의 권능이 + 1 배가 되는 대신 자신이 받는 피해는 + 1 배가 됩니다.
buff.DICHOTOMY.name,Dichotomie,이분법
buff.DICHOTOMY.desc,"Durant ce combat, au début du tour perdez 2 PV et créez une carte « Vie Tordue » en main.",이번 전투동안 턴 시작시 체력 2를 소모하고 '뒤틀리는 생명' 카드를 1장 생성해 패에 추가 합니다.
ui.NPC_RyuJinSol.ButtonWarp_Label,Téléportation,워프
ui.NPC_Sophia.ButtonWarp_Label,Téléportation,워프
ui.msg.warp_select,Sélectionnez un avant-poste sur la carte pour vous téléporter. Le groupe se déplacera quand tous les joueurs seront prêts.,맵에서 워프할 전초기지를 선택한 뒤 모든 플레이어가 레디하면 이동합니다.
ui.msg.warp_no_target,Aucun avant-poste à moins de 5 cases.,5칸 이내에 워프 가능한 전초기지가 없습니다.
ui.msg.warp_no_gold,Pas assez d'or pour la téléportation. Chaque case coûte 10 pièces d'or.,골드가 부족하여 워프할 수 없습니다. 1칸당 10골드가 필요합니다.
ui.msg.warp_prompt,Sélectionnez un avant-poste pour la téléportation,워프할 전초기지를 선택하세요
ui.pray.title,Prier,기도
ui.pray.confirm,Réduire le danger de {0} à {1} ?,위험도를 {0} → {1}(으)로 낮추시겠습니까?
ui.pray.cost,Coût : {0} or (possédé : {1}),비용: {0} 골드 (보유 {1})
ui.pray.min_hazard,Le danger est déjà au minimum,위험도가 이미 최저 상태입니다
ui.pray.accept,Accepter,수락
ui.pray.cancel,Refuser,거절
ui.pray.close,Fermer,닫기
ui.msg.game_saved,Sauvegardé,저장했습니다
ui.levelup.title,{0} monte de niveau !,{0} 레벨 업!
ui.levelup.level,Nv.{0} → Nv.{1},Lv.{0} → Lv.{1}
ui.levelup.skill_points,Points de compétence +{0},스킬 포인트 +{0}
ui.levelup.confirm,OK,확인
ui.stat.hp,PV,HP
ui.stat.str,Force,힘
ui.stat.agi,Agilité,민첩
ui.stat.int,Intelligence,지능
ui.stat.def,Défense,방어력
ui.stat.mdef,Défense magique,마법방어
ui.stat.ctrl,Contrôle,제어
ui.save.title_new,Nouvelle partie — choisissez un emplacement,새 게임 — 저장할 슬롯을 선택하세요
ui.save.title_continue,Continuer — choisissez un emplacement à charger,이어하기 — 불러올 슬롯을 선택하세요
ui.save.slot,Emplacement {0},슬롯 {0}
ui.save.empty,Emplacement vide,빈 슬롯
ui.save.summary,Sauvegarde {0}  |  Étapes débloquées {1}  |  Danger {2},저장 {0}  |  해금 스테이지 {1}  |  위험도 {2}
ui.save.select,Choisir,선택
ui.save.overwrite,Écraser,덮어쓰기
ui.save.confirm_overwrite,Vraiment écraser ? Cliquez à nouveau,정말 덮어쓸까요? 다시 클릭
ui.save.delete,Supprimer,삭제
ui.save.confirm_delete,Vraiment supprimer ? Cliquez à nouveau,정말 삭제할까요? 다시 클릭
ui.save.back,Retour,돌아가기
ui.NPC_RyuJinSol.ButtonHeal_Label,Soigner,회복
ui.msg.hub_heal_paid,{0} or payés — les PV du groupe sont entièrement restaurés,{0} 골드를 내고 파티의 체력을 모두 회복했습니다
ui.msg.hub_heal_no_gold,Pas assez d'or (le soin coûte {0} or),골드가 부족합니다 (회복 비용 {0} 골드)
ui.msg.hub_heal_not_needed,Les PV et PM du groupe sont déjà au maximum — aucun soin nécessaire,파티의 체력과 MP가 모두 최대입니다 — 회복이 필요하지 않습니다
ui.msg.skill_cost_short,{0} — ressources insuffisantes pour l'utiliser,{0} — 자원이 부족해 사용할 수 없습니다
ui.msg.skill_innate_used,{0} — déjà utilisé ce tour,{0} — 이번 턴에 이미 사용했습니다
