key,text,source_ko
ui.Game.TextDeadLine_2,Hasta la distorsión,뒤틀림까지
ui.Game.TextArea_2,Costa\n,연안\n
ui.Game.TextTitle,Revisión : elige las cartas a descartar,카드 확인 : 버릴 카드를 선택하십시오
ui.Game.TextRemoveConfirm,Aceptar,확인
ui.Game.TitleText,Botín,전리품
ui.Game.TitleText_2,Elige una carta,카드를 선택하십시오
ui.Game.ButtonSkip_Label,Omitir,넘기기
ui.Game.TitleText_3,Elige una carta,카드를 선택하십시오
ui.Game.ButtonSkip_Label_2,Omitir,넘기기
ui.Game.TitleText_4,Elige una carta,카드를 선택하십시오
ui.Game.ButtonSkip_Label_3,Omitir,넘기기
ui.Game.ButtonReturnMenuScene_Label,Volver al menú principal,메인 메뉴로 돌아가기
ui.Game.TextDeckListTitle,Mejorar carta,카드 강화
ui.Game.ButtonEnhanceOk_Label,Mejorar,강화
ui.Game.ButtonEnhanceCancel_Label,Cancelar,취소
ui.Game.TextDeckListTitle_2,Quitar carta,카드 제거
ui.Game.ButtonCardRemoveOk_Label,Quitar,제거
ui.Game.ButtonCardRemoveCancel_Label,Cancelar,취소
ui.Game.TitleBackground_Label,Elige el personaje al que curar.,체력을 회복할 캐릭터를 선택하세요.
ui.Game.TitleBackground_Label_2,Elige el personaje al que dar oro.,골드를 넘겨줄 캐릭터를 선택하세요.
ui.Game.TextArea_Placeholder,Introduce una cantidad de oro..,골드 금액을 입력하세요..
ui.Game.ButtonGiveGoldOk_Label,Aceptar,확인
ui.Game.ButtonGiveGoldCancel_Label,Cancelar,취소
ui.Game.ButtonSelectSubmit_Label,Aceptar,확 인
ui.Game.TextTitle_2,Pila de Olvido,잊혀진 덱
ui.Game.TextTitle_3,Pila de Descarte,버린 덱
ui.Game.ButtonSelectSubmit_Label_2,Aceptar,확 인
ui.Game.ButtonOpenDeckBook_Label,Compendio,덱 북
ui.Game.ButtonCardEnhance_Label,Mejorar carta,카드 강화
ui.Game.ButtonGeorkTransform_Label,¡Transformar!,변신!
ui.Game.ButtonSave_Label,Guardar,세이브
ui.Menu.TextArea_Placeholder,Nombre de carta,카드 이름
ui.Menu.ButtonSearch_Label,Buscar\n,검색\n
ui.Menu.TextArea_Placeholder_2,Nombre de carta,카드 이름
ui.Menu.ButtonSearch_Label_2,Buscar\n,검색\n
ui.Menu.TextArea_Placeholder_3,Nombre de carta,카드 이름
ui.Menu.ButtonSearch_Label_3,Buscar\n,검색\n
ui.msg.battle_boss,Combate : jefe,전투 : 보스
ui.msg.battle_normal,Combate : monstruos normales,전투 : 일반 몬스터
ui.msg.battle_elite,Combate : monstruos élite,전투 : 엘리트 몬스터
ui.msg.event_positive,Evento favorable,긍정적 이벤트
ui.msg.event_negative,Evento adverso,부정적 이벤트
ui.msg.camp,Puesto avanzado,전초기지
ui.msg.hub,Base,거점
ui.msg.hub_healed,PS restaurados.,체력을 회복했습니다.
ui.msg.card_shop,Tienda de cartas,카드 상점
ui.msg.item_shop,Tienda de objetos,아이템 상점
ui.msg.map_boss_appeared,Ha aparecido un jefe en el mapa.,맵에 보스가 출현 했습니다.
ui.msg.gold_input_invalid,Introduce una cantidad de oro válida.,골드 금액을 정확하게 입력하세요.
ui.deck.multi_select_explanation,Elige <color=green>1</color> carta de la Pila de Olvido y <color=red>1</color> carta de la Pila de Descarte.,"""잊혀진 덱에서 카드 <color=green>1</color> 장, 버린 덱에서 카드 <color=red>1</color> 장을 선택하세요."""
ui.deck.select_explanation,"Elige <color=green>{0}</color> cartas.\n( Clic izquierdo para seleccionar, clic derecho para deseleccionar. )","""카드를 <color=green>{0}</color> 장 선택하세요.\n( 마우스 왼쪽 버튼 클릭 시 선택, 오른쪽 버튼 클릭 시 해제 됩니다. )"""
ui.hazard.same,Mismo peligro,위험도 동일
ui.hazard.up,Más peligro,위험도 증가
ui.hazard.down,Menos peligro,위험도 감소
ui.msg.swap_accepted,Se ha aceptado la solicitud de cambio de puesto.,위치 교환 요청이 수락되었습니다.
ui.msg.swap_rejected,Se ha rechazado la solicitud de cambio de puesto.,위치 교환 요청이 거절되었습니다.
ui.msg.player_left_room,{0} ha salido de la sala.,{0} 님이 대기방을 나갔습니다.
ui.msg.host_transferred,{0} ha salido de la partida.\nEl control pasa a {1}.,{0} 님이 게임을 나갔습니다.\n{1} 님에게 권한이 이전됩니다.
ui.order.back,Última fila,후열
ui.order.middle,Fila central,중열
ui.order.front,Primera fila,전열
ui.map.turn_count,{0} turnos,{0}턴
buff.BOONGGUI.name,Colapso,붕괴
buff.BOONGGUI.desc,Recibes un 50 % más de daño de ataque (redondeado hacia abajo).,공격 피해를 입을 때 50%(소수점 버림)의 피해를 추가로 입습니다.
buff.SOIRAK.name,Declive,쇠락
buff.SOIRAK.desc,Infliges un 25 % menos de daño de ataque (redondeado hacia abajo).,공격 피해를 입힐 때 25%(소수점 버림) 만큼 줄어듭니다.
buff.ICHI_ATTACK.name,Ichi de Poder,힘의 이치
buff.ICHI_ATTACK.desc,El daño de las cartas aumenta o disminuye en esta cantidad.,카드로 주는 피해량이 힘의 이치의 수치 만큼 증가/ 감소 합니다.
buff.ICHI_DEFENSE.name,Ichi de Defensa,방어의 이치
buff.ICHI_DEFENSE.desc,El bloqueo de las cartas aumenta o disminuye en esta cantidad.,카드로 주는 방어량이 방어의 이치의 수치 만큼 증가/ 감소 합니다.
buff.IRONDEMON.name,Tamaño,크기
buff.IRONDEMON.desc,El Tamaño del Demonio de Hierro puede subir o bajar (mínimo 1) y está ligado a las mejoras de Danhyang. Las cartas también pueden aplicar efectos al propio espíritu.,철귀는 크기 버프를 올리거나 내릴 수 있으며 (최솟값 1) 단향의 버프와 연결되며 정령 자체에 효과를 카드로 부여 할 수 있습니다.
buff.FLOWERPOWDER.name,Polen,꽃가루
buff.FLOWERPOWDER.desc,"Puede aplicarse a aliados y enemigos. Al final del turno otorga N de bloqueo a los aliados o inflige N de daño a los enemigos, y luego pierde 1 acumulación.",아군과 적 모두에게 걸 수 있으며 턴종료 후 아군에게 N 방어력 적에겐 N 피해 후 1 스택 감소합니다.
buff.FLOWER.name,Floración,개화
buff.FLOWER.desc,Se obtiene igual al Polen. Los aliados reciben esa cantidad menos de daño y los enemigos esa cantidad más. Desaparece al ser golpeado o al inicio del turno.,꽃가루 만큼 개화 되며 아군은 받는 피해 개화 만큼 감소 로 받습니다. 적군은 받는 피해 개화 만큼 증가 합니다. 피격시 나 턴종료시 사라집니다.
buff.FURYOFIRON.name,Furia de Hierro,철의 분노
buff.FURYOFIRON.desc,"Durante este combate «Garra de Hierro» y «Colmillo de Hierro» están mejoradas, y «Garra de Hierro» gana [activa Armonía si el Demonio de Hierro está sobre el objetivo].",이번 전투에서 '철의 손톱'과 '철의 이빨' 카드가 강화되며 '철의 손톱' 카드는 [발동 시 그 위치 철귀가 있을 시 화합] 이 붙습니다.
buff.BLADETRIMMING.name,Afilado de Hojas,칼날 손질
buff.BLADETRIMMING.desc,"Durante este combate, al inicio de cada turno se crean en tu mano una «Garra de Hierro» y un «Colmillo de Hierro».",이번 전투에서 턴 시작시 '철의 손톱'과 '철의 이빨' 카드가 한장 씩 패에 생성됩니다.
buff.IMANGRY.name,Esto Me Enfurece,화가나는 구나
buff.IMANGRY.desc,"Este turno, «Colmillo de Hierro» y «Garra de Hierro» infligen el doble de daño.",이번 턴 시용하는 '철의 이빨' 과 '철의 손톱' 카드의 피해가 2 배가 됩니다.
buff.GROWTHSPURT.name,Brote de Crecimiento,성장기
buff.GROWTHSPURT.desc,"Durante este combate, el Tamaño aumenta en 2 al inicio de cada turno.",이번 전투에서 턴 시작시 크기 2 증가 합니다.
buff.FURYOFFLOWER.name,Furia de Flor y Hierro,꽃과 철의 분노
buff.FURYOFFLOWER.desc,"Durante este combate, Armonía se activa cada vez que juegas 3 cartas.",이번 전투에서 자신이 카드를 3장 사용시 화합 이 발동됩니다.
buff.FRAGRANT.name,Flor Fragante,향기로운 꽃
buff.FRAGRANT.desc,"Durante este combate, aplica 2 de Polen a todos al inicio de cada turno.",이번 전투에서 턴 시작시 전체 꽃가루 2 를 부여합니다.
buff.GREATMAN.name,El Gran Ser,위대한 자
buff.GREATMAN.desc,"Una vez por turno, gasta 1 de Ichi para tomar una de las tres Penitencias. Cuando las tres estén en tu mano, la habilidad cambia a «Conviértete en Héroe». (Cada carta de Penitencia solo puede tomarse una vez).",한턴에 한번 능력을 누를시  이치 1을 소비하고 3가지 고행 중 하나를 가져 옵니다. 3가지 고행이 전부 패에 있다면 능력이 '영웅 상태가 됩니다.' 로 바뀝니다. (고행카드는 한번씩만 가져 올수 있음)
buff.HERO.name,Héroe,영웅
buff.HERO.desc,"En estado de Héroe todas las Maldiciones de Ichi se convierten en Cartas de Héroe y ganas [al inicio de tu turno, por cada Carta de Héroe que poseas, gana 3 de Ichi de Poder ese turno y 3 de bloqueo].",영웅 상태시 이치의 저주 카드가 전부 영웅 카드로 변하며 [턴 시작시 자신이 소유한 영웅 카드 갯수 당 그 턴에만 힘의 이치가 3 증가하고 방어 3 을 획득합니다.] 를 능력으로 추가합니다.
buff.APDO.name,Abrumar,압도
buff.APDO.desc,Al llegar a 8 acumulaciones se consume Abrumar y la acción del enemigo se retrasa un turno. Cada éxito multiplica la cantidad necesaria.,압도가 8 모이면 압도를 제거하고 적의 행동을 한 턴 미루게 합니다. 압도 성공시 필요한 압도는 N 배가 됩니다.
buff.BOOKBANG.name,Gran Guerrero del Norte,북방의 위대한 투사
buff.BOOKBANG.desc,"Durante este combate, tu ataque sube de forma acumulativa al inicio de cada uno de tus turnos. Los ataques básicos y las habilidades ganan el valor mostrado, y 'Fuerza inalcanzable' lo cuenta dos veces.",이번 전투 동안 자기 턴이 시작할 때마다 공격력이 누적 상승합니다. 표시 수치만큼 기본 공격과 스킬의 공격력이 오르며 '범접할 수 없는 힘'은 이 수치를 2배로 받습니다.
buff.GOTONG.name,Eco de Agonía,고통의 메아리
buff.GOTONG.desc,"Durante este combate, jugar una carta de maldición inflige 3 de daño a todos los enemigos. Esta carta va a la pila de descarte tras usarse.",이번 전투에서 저주 카드 사용시 적 전체에게 피해 3을 줍니다. 이 카드는 사용 후 버린 덱으로 갑니다.
buff.BRILLIANTCURSE.name,Incluso la Maldición Brilla,저주조차 찬란하다
buff.BRILLIANTCURSE.desc,"Durante este combate, las Maldiciones de Ichi están mejoradas.",이번 전투에서 이치의 저주 카드가 강화 됩니다.
buff.UGLYKNIGHT.name,"Feo, y Aun Así Caballero",추하기에 기사답게
buff.UGLYKNIGHT.desc,"Durante este combate, los efectos de Caballerosidad se repiten una vez más.",이번 전투에서 기사도 효과는 1번 더 반복이 됩니다.
buff.ABSOLUTEDOMINATOR.name,Dominador Absoluto,절대 강자
buff.ABSOLUTEDOMINATOR.desc,"Durante este combate, gana 1 de Ichi de Poder cada vez que Caballerosidad tenga éxito. Esta carta va a la pila de descarte tras usarse.",이번 전투에서 기사도 성공시 힘의 이치 1 을 얻습니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.THEREISNOJABI.name,No Hay Piedad,자비란 없다
buff.THEREISNOJABI.desc,"Durante este combate, al aplicar Abrumar a un enemigo se consume e inflige 3 de daño por acumulación. Esta carta va a la pila de descarte tras usarse.",이번 전투에서 적에게 압도 부여 시 압도를 제거후 압도 1당 피해 3 을 줍니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.WRAPWINGS.name,Alas Envolventes,날개 감싸기
buff.WRAPWINGS.desc,Gana el doble de bloqueo este turno. Efímera,이번 턴에 방어를 2배 얻습니다. 찰나
buff.CLOSEPOSE.name,Postura Impecable,빈틈없는 자세
buff.CLOSEPOSE.desc,Gana 3 de bloqueo cada vez que ataques este turno.,이번턴에 공격할 때마다 방어 3을 얻습니다
buff.WISDOMOFOLDSOLDIER.name,Sabiduría del Veterano,노병의 지혜
buff.WISDOMOFOLDSOLDIER.desc,"Durante este combate, otorga 5 de bloqueo a todos los aliados cada vez que cambien las posiciones. Esta carta va a la pila de descarte tras usarse.",이번 전투에서 위치가 바뀔 때 마다 바뀐 아군전체에게 방어 5 를 부여합니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.MELODYOFHERO.name,Melodía del Héroe,영웅의 선율
buff.MELODYOFHERO.desc,"Durante este combate, roba una carta cada vez que juegues una Bendición de Ichi. Esta carta va a la pila de descarte tras usarse.",이번 전투에서 이치의 축복 카드 사용시 카드 한장을 뽑습니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.GOHANG2_DEBUFF.name,Penitencia II,고행2
buff.GOHANG2_DEBUFF.desc,Una marca de la maldición que permanece hasta que juegues Penitencia II.,고행 II 를 사용할 때까지 남는 저주의 낙인입니다.
buff.GOHANG3_DEBUFF.name,Penitencia III,고행3
buff.GOHANG3_DEBUFF.desc,Todas las cartas salvo Penitencia III cuestan 1 más hasta que la juegues.,고행 III 를 사용할 때까지 고행 III 를 제외한 모든 카드의 비용이 1 증가합니다.
buff.GOHANG3.name,Penitencia,고행
buff.GOHANG3.desc,Todas las cartas que juegues este turno cuestan 1.,이번 턴에 사용하는 모든 카드의 비용이 1 이 됩니다.
buff.ERIS_NORMAL.name,Muñeca que Vio un Sueño,꿈을 본 인형 기본
buff.ERIS_NORMAL.desc,"Con 1 de vida entra en estado ??? (se libera si vuelve a 2 o más). Una vez por combate, si fuera a morir por un ataque que no supere el doble de su vida actual, sobrevive con 1 de vida.",그녀는 체력 1일시 ??? 상태로 진입하며 (2 이상으로 돌아갈시 풀립니다.) 한 전투에 한번 자신의 현재 체력의 2배 이하의 공격을 받고 사망 시 체력 1로 살아남습니다.
buff.ERIS_2ND.name,Muñeca que Vio un Sueño — Antes,꿈을 본 인형 진입전
buff.ERIS_2ND.desc,,description is empty
buff.ERIS_3RD.name,Muñeca que Vio un Sueño — ???,꿈을 본 인형 ???
buff.ERIS_3RD.desc,,description is empty
buff.POWEROFDESTRUCTION.name,Autoridad de Destrucción,파괴의 권능
buff.POWEROFDESTRUCTION.desc,"Jugar una carta de ataque cuesta 2 de vida, pero con la mitad de vida o menos las cartas de ataque infligen el doble de daño, y en estado de Locura el triple. Este efecto no puede dejarte por debajo de 1 de vida.",공격 카드를 사용시 체력이 2씩 감소되지만 체력이 절반 이하면 공격 카드가 2배 피해를 광기 상태시 3배 피해를 주게 됩니다. 이 효과로는 체력 1 밑으로 떨어지지 않습니다.
buff.POWEROFCREATION.name,Autoridad de Creación,창조의 권능
buff.POWEROFCREATION.desc,"Cuando tus cartas te otorguen bloqueo, si te falta vida la recuperas en su lugar; con la vida al máximo ganas bloqueo con normalidad.",자신의 카드로 방어가 올라갈시 체력이 달아있다면 체력이 차며 체력이 가득 차 있다면 방어가 쌓입니다.
buff.BYEOLMURI.name,Cúmulo Estelar,별무리
buff.BYEOLMURI.desc,Potencia la siguiente carta que juegues y consume 1 acumulación. Ataque = gana bloqueo igual a la mitad del daño infligido. Estrategia = vuelve a tu mano tras usarse. Otras cartas = cuestan 2 menos.,다음에 쓰는 카드에 효과를 부여하고 별무리 스택 1 제거합니다.  공격 = 준 피해 절반 방어 / 전략 = 사용후 다시 패 / 그 외 카드 = 비용 2감소
buff.TEMPESTOSO.name,Tempestoso,템페스토소
buff.TEMPESTOSO.desc,"Durante este combate, roba una carta cada vez que pierdas 10 de vida.",이번 전투동안 체력을 10 잃을 때마다 카드를 한장 뽑습니다.
buff.ECLIPSE.name,Eclipse,월식
buff.ECLIPSE.desc,Gana bloqueo igual al daño que inflijas este turno. Gravedad,이번 턴에 넣은 피해 만큼 방어를 얻습니다. 중력
buff.REPEATMARK.name,Signo de Repetición,도돌이표
buff.REPEATMARK.desc,Las cartas de ataque jugadas este turno se juegan dos veces.,이번 턴에 사용되는 공격 카드는 2번 사용됩니다.
buff.SIGNOFEND.name,Presagio del Fin,종말의 징조
buff.SIGNOFEND.desc,"Durante este combate, inflige 2 de daño a todos los enemigos cada vez que una carta pase del mazo de robo a la pila de descarte.",이번 전투에서 카드가 뽑을 덱에서 버린 덱으로 갈 때마다 적 전체에게 피해 2 를 줍니다.
buff.ENDOFDISTORTION.name,Fin de la Distorsión,뒤틀림의 끝
buff.ENDOFDISTORTION.desc,"Durante el resto de la partida, con la vida al máximo tus cartas no otorgan bloqueo y en su lugar infligen esa cantidad de daño a todos los enemigos.",이번 게임동안 자신의 체력이 가득 차있다면 자신의 카드로는 방어가 오르지 않고 그 수치 만큼 적 전체에게 피해를 줍니다.
buff.ENHANCESKIN.name,Muda Reforzada,허물 강화
buff.ENHANCESKIN.desc,"Este turno, la vida recuperada se convierte en bloqueo.",이번 턴 체력 회복은 방어로 전환 됩니다.
buff.DEATHTHROES.name,Estertor de la Muñeca Sonriente,웃는 인형의 단말마
buff.DEATHTHROES.desc,"Durante este combate, la Autoridad de Destrucción gana +1 multiplicador, pero el daño que recibes también se multiplica por 2.",이번 전투 동안 파괴의 권능이 + 1 배가 되는 대신 자신이 받는 피해는 + 1 배가 됩니다.
buff.DICHOTOMY.name,Dicotomía,이분법
buff.DICHOTOMY.desc,"Durante este combate, al inicio de tu turno pierde 2 de vida y crea una carta «Vida Retorcida» en tu mano.",이번 전투동안 턴 시작시 체력 2를 소모하고 '뒤틀리는 생명' 카드를 1장 생성해 패에 추가 합니다.
ui.NPC_RyuJinSol.ButtonWarp_Label,Teletransporte,워프
ui.NPC_Sophia.ButtonWarp_Label,Teletransporte,워프
ui.msg.warp_select,Selecciona un puesto avanzado en el mapa para teletransportarte. El grupo se moverá cuando todos estén listos.,맵에서 워프할 전초기지를 선택한 뒤 모든 플레이어가 레디하면 이동합니다.
ui.msg.warp_no_target,No hay puestos avanzados a menos de 5 casillas.,5칸 이내에 워프 가능한 전초기지가 없습니다.
ui.msg.warp_no_gold,No hay suficiente oro para el teletransporte. Cada casilla cuesta 10 de oro.,골드가 부족하여 워프할 수 없습니다. 1칸당 10골드가 필요합니다.
ui.msg.warp_prompt,Selecciona un puesto avanzado para teletransportarte,워프할 전초기지를 선택하세요
ui.pray.title,Rezar,기도
ui.pray.confirm,¿Reducir el riesgo de {0} a {1}?,위험도를 {0} → {1}(으)로 낮추시겠습니까?
ui.pray.cost,Coste: {0} de oro (tienes {1}),비용: {0} 골드 (보유 {1})
ui.pray.min_hazard,El riesgo ya está al mínimo,위험도가 이미 최저 상태입니다
ui.pray.accept,Aceptar,수락
ui.pray.cancel,Rechazar,거절
ui.pray.close,Cerrar,닫기
ui.msg.game_saved,Guardado,저장했습니다
ui.levelup.title,¡{0} sube de nivel!,{0} 레벨 업!
ui.levelup.level,Nv.{0} → Nv.{1},Lv.{0} → Lv.{1}
ui.levelup.skill_points,Puntos de habilidad +{0},스킬 포인트 +{0}
ui.levelup.confirm,Aceptar,확인
ui.stat.hp,PV,HP
ui.stat.str,Fuerza,힘
ui.stat.agi,Agilidad,민첩
ui.stat.int,Inteligencia,지능
ui.stat.def,Defensa,방어력
ui.stat.mdef,Defensa mágica,마법방어
ui.stat.ctrl,Control,제어
ui.save.title_new,Nueva partida — elige una ranura para guardar,새 게임 — 저장할 슬롯을 선택하세요
ui.save.title_continue,Continuar — elige una ranura para cargar,이어하기 — 불러올 슬롯을 선택하세요
ui.save.slot,Ranura {0},슬롯 {0}
ui.save.empty,Ranura vacía,빈 슬롯
ui.save.summary,Guardado {0}  |  Fases desbloqueadas {1}  |  Peligro {2},저장 {0}  |  해금 스테이지 {1}  |  위험도 {2}
ui.save.select,Seleccionar,선택
ui.save.overwrite,Sobrescribir,덮어쓰기
ui.save.confirm_overwrite,¿Sobrescribir de verdad? Pulsa de nuevo,정말 덮어쓸까요? 다시 클릭
ui.save.delete,Borrar,삭제
ui.save.confirm_delete,¿Borrar de verdad? Pulsa de nuevo,정말 삭제할까요? 다시 클릭
ui.save.back,Volver,돌아가기
ui.NPC_RyuJinSol.ButtonHeal_Label,Curar,회복
ui.msg.hub_heal_paid,Pagaste {0} de oro: los PV del grupo se han restaurado por completo,{0} 골드를 내고 파티의 체력을 모두 회복했습니다
ui.msg.hub_heal_no_gold,Oro insuficiente (la curación cuesta {0} de oro),골드가 부족합니다 (회복 비용 {0} 골드)
ui.msg.hub_heal_not_needed,Los PV y PM del grupo ya están al máximo: no hace falta curación,파티의 체력과 MP가 모두 최대입니다 — 회복이 필요하지 않습니다
ui.msg.skill_cost_short,{0}: recursos insuficientes para usarla,{0} — 자원이 부족해 사용할 수 없습니다
ui.msg.skill_innate_used,{0}: ya se usó en este turno,{0} — 이번 턴에 이미 사용했습니다
