key,text,source_ko
ui.msg.host_transferred,{0} 离开了游戏。\n权限将转交给 {1}。,{0} 님이 게임을 나갔습니다.\n{1} 님에게 권한이 이전됩니다.
ui.order.back,后排,후열
ui.order.middle,中排,중열
ui.order.front,前排,전열
ui.map.turn_count,{0}回合,{0}턴
buff.BOONGGUI.name,崩坏,붕괴
buff.BOONGGUI.desc,受到攻击伤害时额外承受50%(向下取整)。,공격 피해를 입을 때 50%(소수점 버림)의 피해를 추가로 입습니다.
buff.SOIRAK.name,衰败,쇠락
buff.SOIRAK.desc,造成攻击伤害时减少25%(向下取整)。,공격 피해를 입힐 때 25%(소수점 버림) 만큼 줄어듭니다.
buff.ICHI_ATTACK.name,力之理,힘의 이치
buff.ICHI_ATTACK.desc,卡牌造成的伤害按此数值增减。,카드로 주는 피해량이 힘의 이치의 수치 만큼 증가/ 감소 합니다.
buff.ICHI_DEFENSE.name,防御之理,방어의 이치
buff.ICHI_DEFENSE.desc,卡牌提供的格挡按此数值增减。,카드로 주는 방어량이 방어의 이치의 수치 만큼 증가/ 감소 합니다.
buff.IRONDEMON.name,尺寸,크기
buff.IRONDEMON.desc,铁鬼的尺寸可以升降(最小值1)，与丹香的增益相关联，也可以用卡牌为精灵本身赋予效果。,철귀는 크기 버프를 올리거나 내릴 수 있으며 (최솟값 1) 단향의 버프와 연결되며 정령 자체에 효과를 카드로 부여 할 수 있습니다.
buff.FLOWERPOWDER.name,花粉,꽃가루
buff.FLOWERPOWDER.desc,可施加于队友和敌人。回合结束时为队友提供N点格挡、对敌人造成N点伤害，随后减少1层。,아군과 적 모두에게 걸 수 있으며 턴종료 후 아군에게 N 방어력 적에겐 N 피해 후 1 스택 감소합니다.
buff.FLOWER.name,绽放,개화
buff.FLOWER.desc,按花粉的数量绽放。队友受到的伤害减少绽放值，敌人受到的伤害增加绽放值。受击或回合开始时消失。,꽃가루 만큼 개화 되며 아군은 받는 피해 개화 만큼 감소 로 받습니다. 적군은 받는 피해 개화 만큼 증가 합니다. 피격시 나 턴종료시 사라집니다.
buff.FURYOFIRON.name,铁之怒,철의 분노
buff.FURYOFIRON.desc,本场战斗中「铁之爪」与「铁之牙」被强化，且「铁之爪」附加[发动时若该位置有铁鬼则触发和合]。,이번 전투에서 '철의 손톱'과 '철의 이빨' 카드가 강화되며 '철의 손톱' 카드는 [발동 시 그 위치 철귀가 있을 시 화합] 이 붙습니다.
buff.BLADETRIMMING.name,磨刃,칼날 손질
buff.BLADETRIMMING.desc,本场战斗中，每回合开始时在手牌生成一张「铁之爪」和一张「铁之牙」。,이번 전투에서 턴 시작시 '철의 손톱'과 '철의 이빨' 카드가 한장 씩 패에 생성됩니다.
buff.IMANGRY.name,真让人生气,화가나는 구나
buff.IMANGRY.desc,本回合使用的「铁之牙」与「铁之爪」造成双倍伤害。,이번 턴 시용하는 '철의 이빨' 과 '철의 손톱' 카드의 피해가 2 배가 됩니다.
buff.GROWTHSPURT.name,成长期,성장기
buff.GROWTHSPURT.desc,本场战斗中，每回合开始时尺寸增加2。,이번 전투에서 턴 시작시 크기 2 증가 합니다.
buff.FURYOFFLOWER.name,花与铁之怒,꽃과 철의 분노
buff.FURYOFFLOWER.desc,本场战斗中，每使用3张牌触发一次和合。,이번 전투에서 자신이 카드를 3장 사용시 화합 이 발동됩니다.
buff.FRAGRANT.name,芬芳之花,향기로운 꽃
buff.FRAGRANT.desc,本场战斗中，每回合开始时为全体施加2层花粉。,이번 전투에서 턴 시작시 전체 꽃가루 2 를 부여합니다.
buff.GREATMAN.name,伟大者,위대한 자
buff.GREATMAN.desc,每回合一次，消耗1点理获得三种苦行之一。三种苦行全部在手牌中时，能力变为「进入英雄状态」。(每张苦行牌只能获得一次),한턴에 한번 능력을 누를시  이치 1을 소비하고 3가지 고행 중 하나를 가져 옵니다. 3가지 고행이 전부 패에 있다면 능력이 '영웅 상태가 됩니다.' 로 바뀝니다. (고행카드는 한번씩만 가져 올수 있음)
buff.HERO.name,英雄,영웅
buff.HERO.desc,英雄状态下所有理之诅咒牌变为英雄牌，并追加能力[回合开始时，每持有一张英雄牌，本回合力之理增加3并获得3点格挡]。,영웅 상태시 이치의 저주 카드가 전부 영웅 카드로 변하며 [턴 시작시 자신이 소유한 영웅 카드 갯수 당 그 턴에만 힘의 이치가 3 증가하고 방어 3 을 획득합니다.] 를 능력으로 추가합니다.
buff.APDO.name,压倒,압도
buff.APDO.desc,压倒累积到8时消耗压倒，使敌人的行动延后一回合。每次成功后所需的压倒变为N倍。,압도가 8 모이면 압도를 제거하고 적의 행동을 한 턴 미루게 합니다. 압도 성공시 필요한 압도는 N 배가 됩니다.
buff.BOOKBANG.name,北方的伟大斗士,북방의 위대한 투사
buff.BOOKBANG.desc,"本场战斗中，每当自己的回合开始时攻击力累积上升。基本攻击与技能的攻击力提高所示数值，“不可企及之力”以2倍受益。",이번 전투 동안 자기 턴이 시작할 때마다 공격력이 누적 상승합니다. 표시 수치만큼 기본 공격과 스킬의 공격력이 오르며 '범접할 수 없는 힘'은 이 수치를 2배로 받습니다.
buff.GOTONG.name,痛苦的回响,고통의 메아리
buff.GOTONG.desc,本场战斗中，使用诅咒牌时对全体敌人造成3点伤害。此牌使用后进入弃牌堆。,이번 전투에서 저주 카드 사용시 적 전체에게 피해 3을 줍니다. 이 카드는 사용 후 버린 덱으로 갑니다.
buff.BRILLIANTCURSE.name,连诅咒也璀璨,저주조차 찬란하다
buff.BRILLIANTCURSE.desc,本场战斗中，理之诅咒牌被强化。,이번 전투에서 이치의 저주 카드가 강화 됩니다.
buff.UGLYKNIGHT.name,因丑陋而更似骑士,추하기에 기사답게
buff.UGLYKNIGHT.desc,本场战斗中，骑士道效果额外重复一次。,이번 전투에서 기사도 효과는 1번 더 반복이 됩니다.
buff.ABSOLUTEDOMINATOR.name,绝对强者,절대 강자
buff.ABSOLUTEDOMINATOR.desc,本场战斗中，骑士道每次成功时获得1点力之理。此牌使用后进入弃牌堆。,이번 전투에서 기사도 성공시 힘의 이치 1 을 얻습니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.THEREISNOJABI.name,绝无慈悲,자비란 없다
buff.THEREISNOJABI.desc,本场战斗中，对敌人施加压倒时消耗压倒，每层造成3点伤害。此牌使用后进入弃牌堆。,이번 전투에서 적에게 압도 부여 시 압도를 제거후 압도 1당 피해 3 을 줍니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.WRAPWINGS.name,敛翼,날개 감싸기
buff.WRAPWINGS.desc,本回合获得双倍格挡。刹那,이번 턴에 방어를 2배 얻습니다. 찰나
buff.CLOSEPOSE.name,无隙之姿,빈틈없는 자세
buff.CLOSEPOSE.desc,本回合每次攻击获得3点格挡。,이번턴에 공격할 때마다 방어 3을 얻습니다
buff.WISDOMOFOLDSOLDIER.name,老兵的智慧,노병의 지혜
buff.WISDOMOFOLDSOLDIER.desc,本场战斗中，每当位置发生交换时为全体队友提供5点格挡。此牌使用后进入弃牌堆。,이번 전투에서 위치가 바뀔 때 마다 바뀐 아군전체에게 방어 5 를 부여합니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.MELODYOFHERO.name,英雄的旋律,영웅의 선율
buff.MELODYOFHERO.desc,本场战斗中，使用理之祝福牌时抽1张牌。此牌使用后进入弃牌堆。,이번 전투에서 이치의 축복 카드 사용시 카드 한장을 뽑습니다. 이 카드는 사용후 버린 덱으로 갑니다.
buff.GOHANG2_DEBUFF.name,苦行 II,고행2
buff.GOHANG2_DEBUFF.desc,在使用苦行 II 之前一直留存的诅咒烙印。,고행 II 를 사용할 때까지 남는 저주의 낙인입니다.
buff.GOHANG3_DEBUFF.name,苦行 III,고행3
buff.GOHANG3_DEBUFF.desc,在使用苦行 III 之前，除苦行 III 以外所有牌的费用增加1。,고행 III 를 사용할 때까지 고행 III 를 제외한 모든 카드의 비용이 1 증가합니다.
buff.GOHANG3.name,苦行,고행
buff.GOHANG3.desc,本回合使用的所有牌费用变为1。,이번 턴에 사용하는 모든 카드의 비용이 1 이 됩니다.
buff.ERIS_NORMAL.name,见过梦的人偶,꿈을 본 인형 기본
buff.ERIS_NORMAL.desc,体力为1时进入???状态(回到2以上时解除)。每场战斗一次，受到不超过当前体力两倍的攻击而致死时，以1点体力存活。,그녀는 체력 1일시 ??? 상태로 진입하며 (2 이상으로 돌아갈시 풀립니다.) 한 전투에 한번 자신의 현재 체력의 2배 이하의 공격을 받고 사망 시 체력 1로 살아남습니다.
buff.ERIS_2ND.name,见过梦的人偶 进入前,꿈을 본 인형 진입전
buff.ERIS_2ND.desc,,description is empty
buff.ERIS_3RD.name,见过梦的人偶 ???,꿈을 본 인형 ???
buff.ERIS_3RD.desc,,description is empty
buff.POWEROFDESTRUCTION.name,破坏之权能,파괴의 권능
buff.POWEROFDESTRUCTION.desc,使用攻击牌时体力减少2，但体力在半数以下时攻击牌造成2倍伤害，狂气状态下造成3倍伤害。此效果不会使体力降到1以下。,공격 카드를 사용시 체력이 2씩 감소되지만 체력이 절반 이하면 공격 카드가 2배 피해를 광기 상태시 3배 피해를 주게 됩니다. 이 효과로는 체력 1 밑으로 떨어지지 않습니다.
buff.POWEROFCREATION.name,创造之权能,창조의 권능
buff.POWEROFCREATION.desc,自身卡牌提供格挡时，若体力有缺则优先回复体力；体力已满则照常累积格挡。,자신의 카드로 방어가 올라갈시 체력이 달아있다면 체력이 차며 체력이 가득 차 있다면 방어가 쌓입니다.
buff.BYEOLMURI.name,星团,별무리
buff.BYEOLMURI.desc,为下一张使用的牌赋予效果并消耗1层星团。攻击＝获得所造成伤害一半的格挡／战略＝使用后回到手牌／其他牌＝费用减少2。,다음에 쓰는 카드에 효과를 부여하고 별무리 스택 1 제거합니다.  공격 = 준 피해 절반 방어 / 전략 = 사용후 다시 패 / 그 외 카드 = 비용 2감소
buff.TEMPESTOSO.name,坦佩斯托索,템페스토소
buff.TEMPESTOSO.desc,本场战斗中，每失去10点体力抽1张牌。,이번 전투동안 체력을 10 잃을 때마다 카드를 한장 뽑습니다.
buff.ECLIPSE.name,月食,월식
buff.ECLIPSE.desc,获得等同于本回合所造成伤害的格挡。重力,이번 턴에 넣은 피해 만큼 방어를 얻습니다. 중력
buff.REPEATMARK.name,反复记号,도돌이표
buff.REPEATMARK.desc,本回合使用的攻击牌将被使用两次。,이번 턴에 사용되는 공격 카드는 2번 사용됩니다.
buff.SIGNOFEND.name,终末之兆,종말의 징조
buff.SIGNOFEND.desc,本场战斗中，每当有牌从抽牌堆进入弃牌堆时，对全体敌人造成2点伤害。,이번 전투에서 카드가 뽑을 덱에서 버린 덱으로 갈 때마다 적 전체에게 피해 2 를 줍니다.
buff.ENDOFDISTORTION.name,扭曲的尽头,뒤틀림의 끝
buff.ENDOFDISTORTION.desc,本局游戏中，当自身体力已满时，自身卡牌不再提供格挡，而是对全体敌人造成等量伤害。,이번 게임동안 자신의 체력이 가득 차있다면 자신의 카드로는 방어가 오르지 않고 그 수치 만큼 적 전체에게 피해를 줍니다.
buff.ENHANCESKIN.name,蜕壳强化,허물 강화
buff.ENHANCESKIN.desc,本回合的体力回复将转化为格挡。,이번 턴 체력 회복은 방어로 전환 됩니다.
buff.DEATHTHROES.name,笑面人偶的临终悲鸣,웃는 인형의 단말마
buff.DEATHTHROES.desc,本场战斗中破坏之权能增加+1倍，但自身受到的伤害同样增加+1倍。,이번 전투 동안 파괴의 권능이 + 1 배가 되는 대신 자신이 받는 피해는 + 1 배가 됩니다.
buff.DICHOTOMY.name,二分法,이분법
buff.DICHOTOMY.desc,本场战斗中，每回合开始时消耗2点体力并生成一张「扭曲的生命」加入手牌。,이번 전투동안 턴 시작시 체력 2를 소모하고 '뒤틀리는 생명' 카드를 1장 생성해 패에 추가 합니다.
ui.NPC_RyuJinSol.ButtonWarp_Label,传送,워프
ui.NPC_Sophia.ButtonWarp_Label,传送,워프
ui.msg.warp_select,在地图上选择要传送的前哨基地。所有玩家准备就绪后即可移动。,맵에서 워프할 전초기지를 선택한 뒤 모든 플레이어가 레디하면 이동합니다.
ui.msg.warp_no_target,5格以内没有可传送的前哨基地。,5칸 이내에 워프 가능한 전초기지가 없습니다.
ui.msg.warp_no_gold,金币不足无法传送。每格需要10金币。,골드가 부족하여 워프할 수 없습니다. 1칸당 10골드가 필요합니다.
ui.msg.warp_prompt,请选择要传送的前哨基地,워프할 전초기지를 선택하세요
ui.pray.title,祈祷,기도
ui.pray.confirm,将危险度从{0}降至{1}？,위험도를 {0} → {1}(으)로 낮추시겠습니까?
ui.pray.cost,费用：{0}金币（持有{1}）,비용: {0} 골드 (보유 {1})
ui.pray.min_hazard,危险度已是最低,위험도가 이미 최저 상태입니다
ui.pray.accept,接受,수락
ui.pray.cancel,拒绝,거절
ui.pray.close,关闭,닫기
ui.msg.game_saved,已保存,저장했습니다
ui.levelup.title,{0} 升级！,{0} 레벨 업!
ui.levelup.level,Lv.{0} → Lv.{1},Lv.{0} → Lv.{1}
ui.levelup.skill_points,技能点 +{0},스킬 포인트 +{0}
ui.levelup.confirm,确认,확인
ui.stat.hp,生命,HP
ui.stat.str,力量,힘
ui.stat.agi,敏捷,민첩
ui.stat.int,智力,지능
ui.stat.def,防御力,방어력
ui.stat.mdef,魔法防御,마법방어
ui.stat.ctrl,控制,제어
ui.save.title_new,新游戏 — 选择要保存的存档位,새 게임 — 저장할 슬롯을 선택하세요
ui.save.title_continue,继续 — 选择要读取的存档位,이어하기 — 불러올 슬롯을 선택하세요
ui.save.slot,存档 {0},슬롯 {0}
ui.save.empty,空存档位,빈 슬롯
ui.save.summary,保存 {0}  |  已解锁关卡 {1}  |  危险度 {2},저장 {0}  |  해금 스테이지 {1}  |  위험도 {2}
ui.save.select,选择,선택
ui.save.overwrite,覆盖,덮어쓰기
ui.save.confirm_overwrite,确定覆盖？再次点击,정말 덮어쓸까요? 다시 클릭
ui.save.delete,删除,삭제
ui.save.confirm_delete,确定删除？再次点击,정말 삭제할까요? 다시 클릭
ui.save.back,返回,돌아가기
ui.NPC_RyuJinSol.ButtonHeal_Label,治疗,회복
ui.msg.hub_heal_paid,支付 {0} 金币，队伍生命值已全部恢复,{0} 골드를 내고 파티의 체력을 모두 회복했습니다
ui.msg.hub_heal_no_gold,金币不足（治疗费用 {0} 金币）,골드가 부족합니다 (회복 비용 {0} 골드)
ui.msg.hub_heal_not_needed,队伍的生命值和MP均已满 — 无需治疗,파티의 체력과 MP가 모두 최대입니다 — 회복이 필요하지 않습니다
ui.msg.skill_cost_short,{0} — 资源不足，无法使用,{0} — 자원이 부족해 사용할 수 없습니다
ui.msg.skill_innate_used,{0} — 本回合已使用,{0} — 이번 턴에 이미 사용했습니다
